,r0,rC,rT,rA,r0_err,rC_err,rT_err,rA_err
ACCESS-ESM1-5,32.82895790355292,0.04816472783643366,3.444934848875562,-0.006273831829338938,0.03540452256592391,0.1204038278933383,0.07051166861670213,-0.4835900650837893
BCC-CSM2-MR,27.650832704649872,0.0015852889424239347,4.5195852854222665,0.008730329024017047,0.022436717375840014,1.4003222101272186,0.0865367198168735,0.3036712701910147
CESM2,41.32064349692172,0.007514564571986071,1.1888941409452656,0.006256989799176882,0.002812368149976171,0.12018072774723348,0.028785881205876985,0.10601501896356684
CNRM-ESM2-1,38.50804957075496,-0.0003618606566639926,2.444111243117902,0.010309127073952595,0.004851049148105472,-5.261113855045364,0.05865244597649373,0.1810328701761584
CanESM5,35.883301692547775,-0.007116799357483217,-0.08469703543748253,0.019081273760992445,0.009007493941628864,-0.347143666235002,-0.7408193709585558,0.126714016595374
GFDL-ESM4,35.76063050084042,0.017654408675767286,4.507432748552503,-0.0015594042282425224,0.020678998717422698,0.2311229685492789,0.09250791735477402,-2.119703535460308
IPSL-CM6A-LR,34.84355931523271,0.009360864019702042,0.9340870633059666,0.015591199672966405,0.01100846825869351,0.1678506240977637,0.0679964833472468,0.059001513128173345
MIROC-ES2L,34.31826794969214,0.01042550085217564,3.2927278215597937,0.005742164471604028,0.012063595262050034,0.1893225606270621,0.05683135845379554,0.2805047693075111
MPI-ESM1-2-LR,35.69256082507229,0.020771494958516712,1.2608360726789485,0.0035711959325765985,0.010799664067563778,0.11819586320796145,0.0786017201653088,0.47289472911727853
NorESM2-LM,41.32268086352133,0.005589680697943633,1.4541047454108451,0.00756671816341048,0.0025776345281965335,0.223741139931869,0.041085339620096126,0.13118476689271985
UKESM1-0-LL,38.54276711695968,0.018109337253340296,2.5842183244435972,0.002867186853561021,0.011219855989469046,0.1197304387060243,0.04218530335857611,0.4814530655766496
